Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T011G_S122_L001_R1_001	T011G_S122_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2710481.0	273.7 Mbp	0.0	101.0	34.0	85.8668540401935	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T011G_S122_L002_R1_001	T011G_S122_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2720662.0	274.7 Mbp	0.0	101.0	34.0	86.14220057183482	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T012FX_S230_L001_R1_001	T012FX_S230_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3246022.0	327.8 Mbp	0.0	101.0	33.0	77.96650371833256	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T012FX_S230_L002_R1_001	T012FX_S230_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3268713.0	330.1 Mbp	0.0	101.0	33.0	78.00974926804041	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T012F_S111_L001_R1_001	T012F_S111_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3604916.0	364 Mbp	0.0	101.0	33.0	75.14535394848365	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T012F_S111_L002_R1_001	T012F_S111_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3632571.0	366.8 Mbp	0.0	101.0	33.0	75.61322333044605	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T012G_S123_L001_R1_001	T012G_S123_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2424012.0	244.8 Mbp	0.0	101.0	35.0	85.68386853231002	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T012G_S123_L002_R1_001	T012G_S123_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2427457.0	245.1 Mbp	0.0	101.0	35.0	85.88861732827935	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T014F_S171_L001_R1_001	T014F_S171_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3240450.0	327.2 Mbp	0.0	101.0	32.0	74.41572622573955	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T014F_S171_L002_R1_001	T014F_S171_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3236994.0	326.9 Mbp	0.0	101.0	32.0	75.24030082098302	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T014G_S183_L001_R1_001	T014G_S183_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2763740.0	279.1 Mbp	0.0	101.0	35.0	84.67052135000709	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T014G_S183_L002_R1_001	T014G_S183_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2765688.0	279.3 Mbp	0.0	101.0	35.0	84.74912766749581	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T015F_S172_L001_R1_001	T015F_S172_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3783419.0	382.1 Mbp	0.0	101.0	31.0	75.86890265293643	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T015F_S172_L002_R1_001	T015F_S172_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3807434.0	384.5 Mbp	0.0	101.0	32.0	76.33689858446141	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T015G_S184_L001_R1_001	T015G_S184_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2915425.0	294.4 Mbp	0.0	101.0	34.0	83.88109234436342	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T015G_S184_L002_R1_001	T015G_S184_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2920129.0	294.9 Mbp	0.0	101.0	34.0	84.24335343707679	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T016F_S173_L001_R1_001	T016F_S173_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3137118.0	316.8 Mbp	0.0	101.0	30.0	75.19897302973223	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
